task,split,ablation_family,best_macro_f1,mean_macro_f1,runs
task1,dev,multitask,0.6931154274341008,0.6931154274341008,1
task1,dev,roberta_large,0.689011700437559,0.689011700437559,1
task1,dev,deberta_xlarge,0.6837774596672991,0.6837774596672991,1
task1,dev,class_weighted_loss,0.6825968053677465,0.6825968053677465,1
task1,dev,deberta_v3_large,0.6803829143075705,0.6803829143075705,1
task1,dev,input_format_politician_answer,0.6649312440619669,0.6649312440619669,1
task1,dev,deberta_v3_base,0.6484000335829568,0.6484000335829568,1
task1,dev,bert_base,0.592128801431127,0.592128801431127,1
task1,test,deberta_v3_large,0.6309246309246309,0.6309246309246309,1
task1,test,multitask,0.6260050407955983,0.6260050407955983,1
task1,test,roberta_large,0.6231185329545985,0.6231185329545985,1
task1,test,deberta_xlarge,0.6084189356041801,0.6084189356041801,1
task1,test,class_weighted_loss,0.5952275413711584,0.5952275413711584,1
task1,test,deberta_v3_base,0.5647663042457701,0.5647663042457701,1
task1,test,input_format_politician_answer,0.5597826086956522,0.5597826086956522,1
task1,test,bert_base,0.49888266415318744,0.49888266415318744,1
task2,dev,roberta_large,0.43950400057979183,0.43950400057979183,1
task2,dev,deberta_xlarge,0.40140062341697813,0.40140062341697813,1
task2,dev,deberta_v3_large,0.390716911900118,0.390716911900118,1
task2,dev,class_weighted_loss,0.3901100631917209,0.3901100631917209,1
task2,dev,multitask,0.38875560236249046,0.38875560236249046,1
task2,dev,bert_base,0.378319409919508,0.378319409919508,1
task2,dev,input_format_politician_answer,0.35294678224720755,0.35294678224720755,1
task2,dev,deberta_v3_base,0.33617968198515774,0.33617968198515774,1
task2,test,deberta_xlarge,0.39476798446433964,0.39476798446433964,1
task2,test,deberta_v3_large,0.37788799947320245,0.37788799947320245,1
task2,test,class_weighted_loss,0.35267495082527156,0.35267495082527156,1
task2,test,multitask,0.34464844555198254,0.34464844555198254,1
task2,test,roberta_large,0.3249625771858076,0.3249625771858076,1
task2,test,input_format_politician_answer,0.3185766093259714,0.3185766093259714,1
task2,test,bert_base,0.29133493310200137,0.29133493310200137,1
task2,test,deberta_v3_base,0.26571147125649497,0.26571147125649497,1
