task,split,experiment,examples,mean_confidence,mean_confidence_correct,mean_confidence_wrong,mean_entropy,ece_10_bins
task1,test,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,308,0.745171806835509,0.769095319402592,0.6824077679830439,0.5969734962794172,0.0461314434741999
task1,dev,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,690,0.7587977475014286,0.7800130206527132,0.7049435925789368,0.5786804639169225,0.06085000107253806
task1,dev,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,690,0.729220692143924,0.7392100852702846,0.7070012943488415,0.5982796689338111,0.08764427727547243
task1,test,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,308,0.6872071435118651,0.6952690848692216,0.6747477795959504,0.6528777208947905,0.09180745995276933
task1,dev,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,0.8354362586702125,0.8517612249851226,0.7924758209993965,0.41654932731610905,0.12091953663722325
task1,test,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,0.784785536879843,0.7981099731781903,0.7586491426023153,0.48822450421145375,0.1299689511780615
task1,dev,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,0.8303682846003685,0.8474961789229652,0.7886989297558419,0.41055592002959534,0.13773551786291421
task1,test,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,0.8308376011910377,0.8594252325912223,0.768652134949399,0.427730708843733,0.1457726661261026
task1,dev,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,690,0.8502756415501885,0.8674985247232949,0.8127345183203297,0.3882377395186463,0.16550307615079743
task1,dev,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,690,0.9029864090076392,0.9133870620126566,0.8785499233065299,0.2856693021063075,0.20189632695654164
task1,test,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,308,0.8249988812324288,0.8472565828185332,0.7891602091870066,0.43445587909007133,0.20811576434931198
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,308,0.9014175603916119,0.9151890667902159,0.8685778143641713,0.25960478297873774,0.20838729205069606
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,690,0.9316531936759535,0.9420395870051698,0.904121008184221,0.19755714375723518,0.21377848814363068
