path,name,extension,size_bytes,modified_time,role,task
configs/deberta_v3_base_multitask.yaml,deberta_v3_base_multitask.yaml,.yaml,536,2026-06-22 13:43:25,config,both
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/config.yaml,config.yaml,.yaml,1218,2026-06-22 14:49:26,config,both
configs/bert_base_task1.yaml,bert_base_task1.yaml,.yaml,505,2026-06-22 13:41:24,config,task1
configs/deberta_v3_base_task1.yaml,deberta_v3_base_task1.yaml,.yaml,546,2026-06-22 13:42:17,config,task1
configs/deberta_v3_base_task1_politician_answer.yaml,deberta_v3_base_task1_politician_answer.yaml,.yaml,574,2026-06-22 13:42:00,config,task1
configs/deberta_v3_base_task1_weighted.yaml,deberta_v3_base_task1_weighted.yaml,.yaml,563,2026-06-22 13:42:09,config,task1
configs/deberta_v3_large_task1.yaml,deberta_v3_large_task1.yaml,.yaml,600,2026-06-22 13:42:39,config,task1
configs/deberta_xlarge_task1.yaml,deberta_xlarge_task1.yaml,.yaml,612,2026-06-22 13:42:49,config,task1
configs/roberta_large_task1.yaml,roberta_large_task1.yaml,.yaml,555,2026-06-22 13:42:59,config,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/config.yaml,config.yaml,.yaml,1191,2026-06-22 14:26:04,config,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/config.yaml,config.yaml,.yaml,1204,2026-06-22 14:31:54,config,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/config.yaml,config.yaml,.yaml,1232,2026-06-22 14:44:25,config,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/config.yaml,config.yaml,.yaml,1221,2026-06-22 14:37:55,config,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/config.yaml,config.yaml,.yaml,1205,2026-06-22 14:26:03,config,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/config.yaml,config.yaml,.yaml,1202,2026-06-22 14:42:16,config,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/config.yaml,config.yaml,.yaml,1187,2026-06-22 14:26:04,config,task1
configs/bert_base_task2.yaml,bert_base_task2.yaml,.yaml,505,2026-06-22 13:41:33,config,task2
configs/deberta_v3_base_task2.yaml,deberta_v3_base_task2.yaml,.yaml,546,2026-06-22 13:42:34,config,task2
configs/deberta_v3_base_task2_politician_answer.yaml,deberta_v3_base_task2_politician_answer.yaml,.yaml,574,2026-06-22 13:42:24,config,task2
configs/deberta_v3_base_task2_weighted.yaml,deberta_v3_base_task2_weighted.yaml,.yaml,563,2026-06-22 13:42:28,config,task2
configs/deberta_v3_large_task2.yaml,deberta_v3_large_task2.yaml,.yaml,600,2026-06-22 13:42:45,config,task2
configs/deberta_xlarge_task2.yaml,deberta_xlarge_task2.yaml,.yaml,612,2026-06-22 13:42:54,config,task2
configs/roberta_large_task2.yaml,roberta_large_task2.yaml,.yaml,555,2026-06-22 13:43:03,config,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/config.yaml,config.yaml,.yaml,1191,2026-06-22 14:26:04,config,task2
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/config.yaml,config.yaml,.yaml,1204,2026-06-22 14:32:54,config,task2
outputs/runs/task2/deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525/config.yaml,config.yaml,.yaml,1232,2026-06-22 14:45:25,config,task2
outputs/runs/task2/deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854/config.yaml,config.yaml,.yaml,1221,2026-06-22 14:38:54,config,task2
outputs/runs/task2/deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114/config.yaml,config.yaml,.yaml,1205,2026-06-22 14:41:14,config,task2
outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/config.yaml,config.yaml,.yaml,1202,2026-06-22 14:48:27,config,task2
outputs/runs/task2/roberta_large_task2_roberta_large_task2_seed42_20260622_162603/config.yaml,config.yaml,.yaml,1187,2026-06-22 14:26:03,config,task2
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/trainer_log_history.json,trainer_log_history.json,.json,16016,2026-06-22 14:54:47,data,both
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/checkpoints/checkpoint-1730/trainer_state.json,trainer_state.json,.json,18184,2026-06-22 14:54:46,data,both
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:49:27,data,both
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/split.json,split.json,.json,67039,2026-06-22 14:49:28,data,both
outputs/splits/ailsntua_qevasion_task1_seed42_eval0.2.json,ailsntua_qevasion_task1_seed42_eval0.2.json,.json,67035,2026-06-22 14:26:05,data,both
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task1/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:54:50,data,task1
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task1/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,401000,2026-06-22 14:54:50,data,task1
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task1/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:54:51,data,task1
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task1/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,196462,2026-06-22 14:54:51,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:31:28,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,534929,2026-06-22 14:31:28,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:31:29,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,190487,2026-06-22 14:31:29,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/artifacts/trainer_log_history.json,trainer_log_history.json,.json,18100,2026-06-22 14:31:25,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/checkpoints/checkpoint-1211/trainer_state.json,trainer_state.json,.json,15979,2026-06-22 14:30:14,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:26:05,data,task1
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/split.json,split.json,.json,67035,2026-06-22 14:26:05,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:36:50,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,449268,2026-06-22 14:36:50,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:36:51,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,254462,2026-06-22 14:36:51,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/artifacts/trainer_log_history.json,trainer_log_history.json,.json,18073,2026-06-22 14:36:48,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/checkpoints/checkpoint-1211/trainer_state.json,trainer_state.json,.json,15998,2026-06-22 14:35:43,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:31:55,data,task1
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154/split.json,split.json,.json,67035,2026-06-22 14:31:55,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:48:18,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,462652,2026-06-22 14:48:18,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:48:19,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,258295,2026-06-22 14:48:19,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/artifacts/trainer_log_history.json,trainer_log_history.json,.json,14057,2026-06-22 14:48:16,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/checkpoints/checkpoint-865/trainer_state.json,trainer_state.json,.json,11681,2026-06-22 14:47:11,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:44:27,data,task1
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/split.json,split.json,.json,67035,2026-06-22 14:44:27,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:43:23,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,467757,2026-06-22 14:43:23,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:43:24,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,234445,2026-06-22 14:43:24,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/artifacts/trainer_log_history.json,trainer_log_history.json,.json,20180,2026-06-22 14:43:20,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/checkpoints/checkpoint-1730/trainer_state.json,trainer_state.json,.json,22522,2026-06-22 14:43:19,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:37:56,data,task1
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755/split.json,split.json,.json,67035,2026-06-22 14:37:56,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:40:06,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,430679,2026-06-22 14:40:06,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:40:09,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,167993,2026-06-22 14:40:09,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/trainer_log_history.json,trainer_log_history.json,.json,10033,2026-06-22 14:39:58,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/checkpoints/checkpoint-519/trainer_state.json,trainer_state.json,.json,7376,2026-06-22 14:34:26,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:26:04,data,task1
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/split.json,split.json,.json,67035,2026-06-22 14:26:05,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 16:18:50,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,433729,2026-06-22 16:18:50,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 16:19:01,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,195576,2026-06-22 16:19:01,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/artifacts/trainer_log_history.json,trainer_log_history.json,.json,14185,2026-06-22 16:18:26,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/checkpoints/checkpoint-865/trainer_state.json,trainer_state.json,.json,11784,2026-06-22 15:51:17,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:42:18,data,task1
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216/split.json,split.json,.json,67035,2026-06-22 14:42:18,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:40:58,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,484174,2026-06-22 14:40:58,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/artifacts/test_gold_labels.npy,test_gold_labels.npy,.npy,2592,2026-06-22 14:41:00,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,217691,2026-06-22 14:41:00,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/artifacts/trainer_log_history.json,trainer_log_history.json,.json,14104,2026-06-22 14:40:55,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/checkpoints/checkpoint-865/trainer_state.json,trainer_state.json,.json,11694,2026-06-22 14:36:40,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:26:05,data,task1
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604/split.json,split.json,.json,67035,2026-06-22 14:26:05,data,task1
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task2/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:54:50,data,task2
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task2/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,983305,2026-06-22 14:54:50,data,task2
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task2/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,425166,2026-06-22 14:54:51,data,task2
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task2/test_unresolved_disagreements.csv,test_unresolved_disagreements.csv,.csv,93345,2026-06-22 14:54:51,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:32:02,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,1051250,2026-06-22 14:32:02,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,478284,2026-06-22 14:32:03,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/test_unresolved_disagreements.csv,test_unresolved_disagreements.csv,.csv,95221,2026-06-22 14:32:03,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/trainer_log_history.json,trainer_log_history.json,.json,30594,2026-06-22 14:31:59,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/checkpoints/checkpoint-1384/trainer_state.json,trainer_state.json,.json,26829,2026-06-22 14:30:48,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/dataset_schema.json,dataset_schema.json,.json,2632,2026-06-22 14:26:05,data,task2
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/split.json,split.json,.json,67035,2026-06-22 14:26:05,data,task2
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/dev_gold_labels.npy,dev_gold_labels.npy,.npy,5648,2026-06-22 14:38:22,data,task2
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/dev_misclassified_examples.csv,dev_misclassified_examples.csv,.csv,988566,2026-06-22 14:38:22,data,task2
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/test_misclassified_examples.csv,test_misclassified_examples.csv,.csv,460226,2026-06-22 14:38:23,data,task2
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/test_unresolved_disagreements.csv,test_unresolved_disagreements.csv,.csv,93334,2026-06-22 14:38:23,data,task2
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/trainer_log_history.json,trainer_log_history.json,.json,30316,2026-06-22 14:38:20,data,task2
