task,split,system_a,system_b,shared_examples,macro_f1_delta_a_minus_b,ci_low,ci_high
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,690,-0.10078458045743227,-0.13983655181873586,-0.06095917957451401
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,690,-0.05731274530922095,-0.09872553413551718,-0.015071784378397872
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,690,-0.07282780194619734,-0.11517481108214665,-0.0236400181854489
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,690,-0.09141347190708406,-0.13031375910796988,-0.05481215374815711
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,690,-0.08958627723413808,-0.1352392445544668,-0.042771501885496145
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,-0.09274119249249012,-0.1379693946085172,-0.04885757809474308
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.09749943600892164,-0.14145450883066957,-0.052751583276777356
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,690,0.04347183514821134,0.007249128829106691,0.07934317816601151
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,690,0.027956778511234945,-0.013244431309517203,0.06492626226026778
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,690,0.009371108550348235,-0.02453002477853716,0.04060127431364454
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,690,0.011198303223294204,-0.0318139843471979,0.05270312748907442
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,0.008043387964942172,-0.029142942632996455,0.04735797812145925
task1,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,0.0032851444485106534,-0.03225210077568908,0.04147502943862549
task1,dev,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,690,-0.015515056636976386,-0.0485333376611467,0.016131120277555984
task1,dev,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,690,-0.034100726597863104,-0.06866091250617445,0.0012785039947310279
task1,dev,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,690,-0.03227353192491713,-0.07069509403035162,0.01153807263105994
task1,dev,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,-0.03542844718326917,-0.07551599523024288,0.003158621221374676
task1,dev,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.040186690699700676,-0.0813959339754526,-0.002771382724152381
task1,dev,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,690,-0.018585669960886713,-0.0537217814974074,0.01870747361085275
task1,dev,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,690,-0.01675847528794074,-0.0510702265115976,0.018674494545737087
task1,dev,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,-0.019913390546292774,-0.05798946983426805,0.015776183415315514
task1,dev,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.024671634062724296,-0.06435888067141841,0.013148954535265791
task1,dev,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,690,0.001827194672945969,-0.03950077679329872,0.04296222252149535
task1,dev,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,-0.001327720585406063,-0.041316463668145086,0.03775610630615353
task1,dev,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.006085964101837581,-0.04498904321795978,0.027913268422981106
task1,dev,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,690,-0.003154915258352032,-0.0435493414523195,0.035206775229165016
task1,dev,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.00791315877478355,-0.046918831205246606,0.030423905237512355
task1,dev,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.004758243516431518,-0.04093144016488889,0.032259479447778114
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,308,-0.12624479052618856,-0.21215442785405342,-0.0467257881457848
