run_dir,run_name,task_type,model_name,seed,experiment_name,task,dev_macro_f1,test_macro_f1,test_unanimous_macro_f1,any_annotator_match_rate,unresolved_disagreement_count
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,multitask,microsoft/deberta-v3-base,42,deberta_v3_base_multitask,task1,0.6931154274341008,0.6260050407955983,,,
outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,multitask,microsoft/deberta-v3-base,42,deberta_v3_base_multitask,task2,0.38875560236249046,0.34464844555198254,0.43013283486429266,0.5681818181818182,33.0
outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,task1,bert-base-uncased,42,bert_base_task1,task1,0.592128801431127,0.49888266415318744,,,
outputs/runs/task1/deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,task1,microsoft/deberta-v3-base,42,deberta_v3_base_task1,task1,0.6484000335829568,0.5647663042457701,,,
outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,task1,microsoft/deberta-v3-base,42,deberta_v3_base_task1_politician_answer,task1,0.6649312440619669,0.5597826086956522,,,
outputs/runs/task1/deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,task1,microsoft/deberta-v3-base,42,deberta_v3_base_task1_weighted,task1,0.6825968053677465,0.5952275413711584,,,
outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,task1,microsoft/deberta-v3-large,42,deberta_v3_large_task1,task1,0.6803829143075705,0.6309246309246309,,,
outputs/runs/task1/deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,task1,microsoft/deberta-xlarge,42,deberta_xlarge_task1,task1,0.6837774596672991,0.6084189356041801,,,
outputs/runs/task1/roberta_large_task1_roberta_large_task1_seed42_20260622_162604,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,task1,roberta-large,42,roberta_large_task1,task1,0.689011700437559,0.6231185329545985,,,
outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,task2,bert-base-uncased,42,bert_base_task2,task2,0.378319409919508,0.29133493310200137,0.36872213531877396,0.4253246753246753,33.0
outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,task2,microsoft/deberta-v3-base,42,deberta_v3_base_task2,task2,0.33617968198515774,0.26571147125649497,0.3687282940255405,0.4772727272727273,33.0
outputs/runs/task2/deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,task2,microsoft/deberta-v3-base,42,deberta_v3_base_task2_politician_answer,task2,0.35294678224720755,0.3185766093259714,0.3539712172197128,0.5324675324675324,33.0
outputs/runs/task2/deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,task2,microsoft/deberta-v3-base,42,deberta_v3_base_task2_weighted,task2,0.3901100631917209,0.35267495082527156,0.42852780294640763,0.474025974025974,33.0
outputs/runs/task2/deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,task2,microsoft/deberta-v3-large,42,deberta_v3_large_task2,task2,0.390716911900118,0.37788799947320245,0.42487579973968354,0.5454545454545454,33.0
outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,task2,microsoft/deberta-xlarge,42,deberta_xlarge_task2,task2,0.40140062341697813,0.39476798446433964,0.42461075356255673,0.5194805194805194,33.0
outputs/runs/task2/roberta_large_task2_roberta_large_task2_seed42_20260622_162603,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,task2,roberta-large,42,roberta_large_task2,task2,0.43950400057979183,0.3249625771858076,0.4035714285714285,0.5422077922077922,33.0
